iter	Passed	Remaining
0	0	848
1	1	830
2	2	784
3	2	741
4	3	723
5	4	705
6	5	722
7	5	735
8	6	732
9	7	729
10	8	751
11	9	761
12	10	763
13	10	762
14	11	755
15	12	752
16	12	744
17	13	742
18	14	736
19	14	729
20	15	723
21	16	720
22	16	717
23	17	713
24	18	713
25	19	713
26	19	712
27	20	713
28	21	713
29	22	715
30	22	712
31	23	722
32	24	724
33	25	724
34	26	722
35	27	725
36	27	726
37	28	726
38	29	731
39	30	727
40	31	727
41	31	725
42	32	725
43	33	724
44	34	721
45	34	720
46	35	719
47	36	717
48	36	714
49	37	712
50	38	718
51	39	719
52	40	717
53	40	715
54	41	713
55	42	714
56	43	713
57	43	710
58	44	709
59	45	707
60	45	705
61	46	704
62	47	701
63	47	699
64	48	697
65	49	694
66	49	692
67	50	689
68	51	689
69	51	686
70	52	684
71	53	683
72	54	685
73	54	685
74	55	683
75	56	681
76	56	679
77	57	678
78	58	677
79	58	676
80	59	675
81	60	673
82	60	669
83	61	666
84	61	665
85	62	664
86	63	661
87	63	661
88	64	661
89	65	659
90	65	659
91	66	658
92	67	657
93	68	659
94	69	661
95	70	662
96	71	661
97	71	660
98	72	659
99	73	658
100	73	658
101	74	658
102	75	657
103	76	656
104	76	654
105	77	652
106	77	650
107	78	648
108	78	645
109	79	643
110	79	640
111	80	638
112	81	636
113	81	634
114	82	632
115	82	629
116	83	626
117	83	626
118	84	625
119	85	623
120	85	622
121	86	620
122	86	618
123	87	617
124	87	615
125	88	614
126	89	612
127	89	610
128	90	609
129	90	606
130	91	604
131	91	602
132	92	600
133	92	598
134	93	596
135	93	595
136	94	593
137	94	591
138	95	589
139	95	587
140	96	586
141	96	583
142	97	582
143	97	580
144	98	579
145	99	579
146	99	579
147	100	578
148	101	578
149	102	580
150	103	579
151	103	577
152	104	575
153	104	574
154	105	573
155	105	571
156	106	570
157	106	568
158	107	567
159	107	565
160	108	563
161	108	561
162	109	560
163	109	559
164	110	558
165	110	556
166	111	554
167	111	553
168	112	551
169	112	550
170	113	549
171	114	549
172	114	549
173	115	548
174	116	547
175	116	546
176	117	546
177	118	545
178	118	545
179	119	543
180	119	542
181	120	543
182	121	541
183	121	540
184	122	540
185	123	538
186	123	537
187	124	536
188	124	534
189	125	533
190	125	531
191	126	530
192	126	529
193	127	528
194	127	527
195	128	525
196	128	525
197	129	524
198	130	523
199	130	522
200	131	521
201	131	520
202	132	519
203	132	518
204	133	518
205	134	517
206	134	516
207	135	516
208	136	514
209	136	513
210	137	512
211	137	511
212	138	511
213	138	510
214	139	508
215	140	508
216	140	507
217	140	505
218	141	504
219	142	503
220	142	502
221	143	501
222	144	501
223	144	501
224	145	500
225	146	501
226	146	500
227	147	499
